rang;name;nation;member_id;punkte
247;Margaret LIPS;EST;49364;20
247;Ieva MEZDREIJA;LAT;38510;20
247;Hanna STEFKOVICS;HUN;36289;20
247;Ailian XIA;CYP;35189;20
247;Gabriella ILLUM;DEN;49508;20
247;Mira TURGUT;TUR;39070;20
247;Azra Sultan BOYALI;TUR;44553;20
247;Eva ZORATTO;FRA;27020;20
247;Evangelia NEMTSA;GRE;27819;20
247;Ava DODKINS;ENG;41960;20
247;Alise ANTANE;LAT;26674;20
247;Lumei BOLUSSET LI;FRA;43008;20
247;Caroline MUNK MORTENSEN;DEN;40122;20
247;Monah KUNDL;AUT;49279;20
247;Emily SUN;AUT;25463;20
247;Elsa THEMAS;EST;30493;20
247;Rosann MASSUR;EST;27092;20
265;Marta ALVAREZ;ESP;37262;19
265;Aitana TEJEIRO;ESP;33173;19
265;Sonia MEINESZ;ESP;48290;19
265;Denisa AUDY;CZE;17746;19
269;Sarah STORZ;GER;98447;18
269;Sophia HAUER;GER;10588;18
269;Yelyzaveta RAKYTIANSKA;UKR;30853;18
272;Aneta TEKELOVA;SVK;25010;15
273;Chloe FAN;ENG;81372;15
273;Maria GIANNOPOULOU;CYP;66096;15
273;Gitika VENKATASUBBAIAH;SUI;85783;15
273;Gabija BERZINSKAITE;LTU;46449;15
273;Alba PEREZ;ESP;32204;15
273;Daniela MARQUES;ESP;31901;15
273;Michaela DOBEŠOVÁ;CZE;27135;15
273;Franzi HELLRIGL;ITA;36616;15
273;Karina FULOP;ROU;36226;15
273;Edith Andrada URSACHESCU;ROU;47910;15
273;Alexia CHIRILA;ROU;24510;15
273;Nikola MISIASZEK;POL;32360;15
273;Harshini SRIRAMAN;NED;30440;15
273;Elen PERNÍKOVÁ;CZE;19765;15
273;Jill BELJAARS;NED;27226;15
273;Ami VAN BEKKUM;NED;27022;15
273;Mara STRICKER;ITA;11267;15
273;Marina Frances CHRISTOFOROU;CYP;21913;15
273;Julia SCHNEEBERGER;SUI;21518;15
273;Taute BALTAKYTE;LTU;18204;15
273;Simiao YUAN;CYP;40058;15
273;Tilda MULDER FELLENIUS;SWE;43508;15
273;Kotryna UZUPE;SWE;42283;15
273;Nina KEO BOUN KHOUNE;GER;35358;15
273;Victoria BRAUN;GER;32018;15
273;Srisarayu RAMISETTY;NED;16175;15
273;Sofia DE LA CRUZ;ESP;36757;15
273;Goya VALLES;ESP;39568;15
273;Armelle LE DIMET;FRA;34058;15
273;Lilla MOLNAR;HUN;38245;15
273;Kristina STANISLAVOVA;ESP;30248;15
273;Lena NOWAK;POL;31044;15
273;Alicja WOJCICKA;POL;22266;15
